Pipeline,model,Index Build/Load,Component Initialization,Single Query Test,Full Evaluation Time,Total Pipeline Runtime
Advanced RAG (query_rewriting) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,87.2624,0.0235,3.5182,415.8043,506.6084
Advanced RAG (query_decomposition) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,81.151,0.0144,3.3131,580.3673,664.8458
Advanced RAG (query_expansion) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,88.5642,0.0123,3.4187,525.4075,617.4027
Advanced RAG (standard) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,103.6697,0.0393,11.4729,610.5543,725.7362
Advanced RAG (standard) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,78.3455,0.0125,2.4675,391.5581,472.3836
Advanced RAG (standard) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,86.7336,0.0135,13.2914,590.055,690.0936
Advanced RAG (standard) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,91.8419,0.0153,2.4262,526.3729,620.6562
Advanced RAG (standard) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,103.5856,0.0264,5.3111,463.9418,572.8651
Baseline RAG (BaselineRAGPipeline),qwen3-vl:8b-instruct,87.7704,0.0135,2.9055,209.8762,300.5657
Advanced RAG (standard) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,103.0531,0.0849,3.3118,213.875,320.3248
Step4_Multimodal (AdvancedRAGPipeline),qwen3-vl:8b-instruct,67.5329,0.0698,22.0608,2764.2451,2853.9085
INTUITIVE (RAGPipeline),qwen3-vl:8b-instruct,50.4247,0.0228,563.3697,136.1469,749.9652
Enhanced_hierar_rag_fusion_cot_multimodal (AdvancedRAGPipeline),qwen3-vl:8b-instruct,53.5973,0.0272,509.8263,419.9603,983.4121
semantic_rag_fusion_cot_multimodal (AdvancedRAGPipeline),qwen3-vl:8b-instruct,56.041,0.0149,18.4061,369.226,443.6881
Enhanced_hierar_rag_fusion_cot_multimodal (AdvancedRAGPipeline),qwen3-vl:8b-instruct,46.1154,0.0144,9.1201,1938.4449,1993.6962
semantic_rag_fusion_cot_multimodal (AdvancedRAGPipeline),qwen3-vl:8b-instruct,44.1489,0.0141,1.9702,604.1899,650.3242
fixed_rag_fusion_cot_multimodal (AdvancedRAGPipeline),qwen3-vl:8b-instruct,31.2836,0.0236,1.5927,586.0769,618.9767
semantic_hyde_cot_multimodal (AdvancedRAGPipeline),qwen3-vl:8b-instruct,28.7333,0.023,2.8112,876.4164,907.9839
fixed_hyde_cot_multimodal (AdvancedRAGPipeline),qwen3-vl:8b-instruct,72.538,0.0189,2.5156,546.5552,621.6277
