Phase,Duration (seconds),Timestamp
PDF Extraction (docling),3898.3251,2026-04-17 11:50:26
PDF Chunking,6.0412,2026-04-17 11:50:32
Total Pipeline Runtime,3904.3663,2026-04-17 11:50:32
